#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
39,??? ?????? @s5s5_3,1.1M,0.1%,Saudi Arabia,Life and Society,330K
40,??????? @1xe_12,1.1M,-,Saudi Arabia,Funny,330K
41,???? ????????? @509c_,1M,-,Saudi Arabia,,300K
42,Easy cooking @diasaid8,1M,-,Saudi Arabia,Food,300K
43,????????? ??????? | #????? @tashku8,995K,-,Saudi Arabia,,298.5K
44,?????? ?????? @malakmbm,994.4K,-,Saudi Arabia,,298.3K
45,???? ?????? ? @t95,991.4K,-,Saudi Arabia,,297.4K
46,???? ?????? @_z20u,987.7K,-,Saudi Arabia,,296.3K
47,??? ?? ?? @y222.v,986.4K,0.1%,Saudi Arabia,Entertainment and Music,295.9K
48,???? ???? @talaljamal1,984.6K,-,Saudi Arabia,Education,295.4K
49,FNAN @fnan2842,978.8K,2.8%,Saudi Arabia,,293.6K
50,Al Mamun @al_mamun877,977.1K,-,Saudi Arabia,,293.1K
51,Huda Adil @hudaadil1996,970.5K,-,Saudi Arabia,Beauty,291.2K
52,?? ?? ????. @ibrahimfarg21,970.2K,-,Saudi Arabia,,291.1K
53,ayaz kaya @ayaz_kaya.44,969.8K,0.1%,Saudi Arabia,,290.9K
54,????? ??? ????????? @chef.khadejah,967.8K,-,Saudi Arabia,,290.3K
55,Rotana Classic @rotanaclassic,967.3K,-,Saudi Arabia,,290.2K
56,Un Muslim @1_muslim,962.9K,0.3%,Saudi Arabia,,288.9K
57,????? ??? ???? @sawtelghad,962.4K,-,Saudi Arabia,,288.7K
58,Amy Roko ???? ???? @amyroko,959.8K,-,Saudi Arabia,,287.9K
59,Cr7 @crxtiano,957.6K,0.2%,Saudi Arabia,,287.3K
60,???????|bugsh @55.955,954.5K,0.1%,Saudi Arabia,,286.4K
61,?? @abu.shahem1,954.2K,-,Saudi Arabia,,286.3K
62,Bo3omarEats @bo3omar22,954K,0.2%,Saudi Arabia,,286.2K
63,Sudki boss waleed?? @sudkibosswaleed,953.9K,-,Saudi Arabia,,286.2K
64,??????? @khaled_0_00,950.6K,-,Saudi Arabia,,285.2K
65,????? | Media @media__art18,950.5K,-,Saudi Arabia,,285.2K
66,???? ????? | Toyor Al Janah TV @toyoraljanah.ar,950.5K,-,Saudi Arabia,,285.2K
67,Latifhbb2 @latifooo_,949.7K,-,Saudi Arabia,,284.9K
68,????? KDKWD | ? ?? @hm.c,948.3K,-,Saudi Arabia,,284.5K
69,BJ Bushra @bjbushra,943.9K,-,Saudi Arabia,,283.2K
70,???? ??????? ?????? @rawdarody07,943.2K,-,Saudi Arabia,,283K
71,??? ?? @en.68,941.5K,0.3%,Saudi Arabia,,282.5K
72,??????? ???? ?? @zaman_studio,935.3K,-,Saudi Arabia,,280.6K
73,?? ?? ???? @ahmed__nur,932.4K,0.2%,Saudi Arabia,,279.7K
74,dailyquran @dailyquran,927.1K,-,Saudi Arabia,,278.1K
75,Wafi alqadihi @english.wafi,926.9K,-,Saudi Arabia,,278.1K
76,??????? ????????????. @abooody121,926.3K,0.1%,Saudi Arabia,,277.9K
77,?? ???? ?? ?????? ?? @k1.bxx,925.9K,-,Saudi Arabia,Entertainment and Music,277.8K
78,???? ??? ???????????? @en_fahad,925.3K,-,Saudi Arabia,Home and Garden,277.6K
79,????? @b5b.6,925.1K,-,Saudi Arabia,,277.5K
80,???? @laji29,919.7K,1.2%,Saudi Arabia,,275.9K
81,Aldeevo @aldeevo,916.4K,-,Saudi Arabia,,274.9K
82,ItsMeRob @rob.game,916.4K,-,Saudi Arabia,,274.9K
83,Abdo Tayaf @abdotayaf,913.4K,-,Saudi Arabia,,274K
84,???????? ?? ??????? @u.bayda_123,909.9K,-,Saudi Arabia,,273K
85,??? @a_yt.00,908K,-,Saudi Arabia,,272.4K
86,Akram @akramaqlan,906.3K,-,Saudi Arabia,,271.9K
87,??????????? @raq5096,903.7K,-,Saudi Arabia,Health and Medical Services,271.1K
88,fatawa_amah @fatawa_amah,902.6K,-,Saudi Arabia,Education,270.8K
89,???? ?????? @yaser_alsafer8,899.9K,-,Saudi Arabia,,270K
90,????????? ???????? @allehani1,897.6K,-,Saudi Arabia,,269.3K
91,????? ??????? @raa_a60,896.8K,0.5%,Saudi Arabia,,269K
92,Manal Alalem Chef ???? ?????? @manalalalemcooking,892.1K,-,Saudi Arabia,Food,267.6K
93,Muzzamil Ak ?? @mzml011,888.9K,-,Saudi Arabia,Entertainment and Music Product Education,266.7K
94,HA.88 @selin9904,888.4K,-,Saudi Arabia,Beauty,266.5K
95,Ahmed Aljar @ahmed.jar,887.8K,-,Saudi Arabia,,266.3K
96,Shamli @shamlifaizal,887.6K,-,Saudi Arabia,,266.3K
97,???? Jatti ???? @jatti__official,887.1K,-,Saudi Arabia,,266.1K
98,Jooturbo&eman @eman_eltantawi,885.5K,-,Saudi Arabia,,265.7K
99,????RT????? @o_.xs,885.5K,-,Saudi Arabia,Food and Drink,265.7K
100,?????? ??? ??? @heartmecca,884.4K,-,Saudi Arabia,,265.3K
